ИСТОРИЯ ВНЕСЕНИЯ В ЧЕРНЫЙ СПИСОК,,,,,,ИСТОРИЯ ВЫНОСА,,
НИКНЕЙМ,КТО ВНЕС,ПРИЧИНА,ДАТА ВНЕСЕНИЯ,,,НИКНЕЙМ,КТО ВЫНЕС,ПРИЧИНА
Mellstroy_Hight,Evan Wylth,"Обман Министра, превышение полномочий, нарушения правил",21.12.2025,,,Alvin Naumov,Evan Wylth,Подача заявления на вынос
Denka_Nemkich,Evan Wylth,"ТК, нарушение устава и законов",30.12.2025,,,,,
Beholder_Disabled,Evan Wylth,"Читы, нарушение устава, закона",02.01.2026,,,,,
Smirt_Jacksoni,Evan Wylth,"Читы, нарушение устава, закона",02.01.2026,,,,,
Let Gorme,Callisto Castello,,,,,,,
Nikolay_Severov,Callisto Castello,"Грубое НУМВД, Грубая OOC игра во время теракта, слив OOC информации мафии, игра на два фронта",16.01.2026,,,,,
Oleg Guzmanez,Callisto Castello,Грубое НУМВД,18.01.2026,,,,,
Varya_Grozova,Callisto Castello,Снятие розыска без причины,28.01.2026,,,,,
